title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
The Shortcut,0,tt1243955,en,The Shortcut,"When Derek (AnDrew Seeley) moves to a new town and discovers a shortcut through the woods to his high school, he learns about a crazy old man who lives near its path: Legend has it that he abducted a group of teenagers years ago. Ignoring the warning, Derek and his friends set out to uncover the dark secret that's buried deep in the woods. But will they survive to tell it?",07/02/2009,100.0,Some urban legends are real,5000000
Boiling Point,9000000,tt0106455,en,Boiling Point,"Red is an aging scam-artist who's just been released from prison together with Ronnie, a young and not-so-bright hoodlum who is easily manipulated. Their new business is to organize fake-money sales and then kill the buyer to take his money; but when Ronnie kills an undercover secret service agent, his partner Jimmy Mercer vows revenge and is given one week to catch the killers before being transferred. Written by Giancarlo Cairella",16/04/1993,92.0,He's a cop who reached the Boiling Point,10000000
Vicky the Viking,11000000,tt1167599,de,Wickie und die starken MÃ¤nner,"Vicky is a viking-boy who lives with his parents Halvar and Ylva in the small village Flake. He is a typical viking boy, but rather fearful. He is also not very strong but smart. One day he sails with the grown up vikings out to the sea and to experience a great and funny adventure. Written by Cirdan (imdb)",09/09/2009,85.0,,32000000
A Star Is Born,0,tt0029606,en,A Star Is Born,"Esther Blodgett is just another starry-eyed farm kid trying to break into the movies. Waitressing at a Hollywood party, she catches the eye of alcoholic star Norman Maine, is given a test, and is caught up in the Hollywood glamor machine (ruthlessly satirized). She and her idol Norman marry; but his career abruptly dwindles to nothing",27/04/1937,111.0,Is the price of stardom a broken heart?,2
The Butcher Boy,0,tt0118804,en,The Butcher Boy,"Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. When Francie's world turns to madness, he tries to counter it with further insanity, with dire consequences.",13/07/1997,110.0,,1995911
Loose Change: Final Cut,6000,tt0914809,en,Loose Change: Final Cut,"Loose Change Final Cut is the third installment of the documentary that asks the tough questions about the 9/11 attacks and related events. This movie hopes to be the catalyst for a new independent investigation, in which the family members receive answers to their questions, and the TRUE PERPETRATORS of this horrendous crime are PROSECUTED and PUNISHED.",11/11/2007,129.0,,6000
Doctor Detroit,0,tt0085450,en,Doctor Detroit,A shy but gentle man named Clifford Skridlow is a professor of comparative literature at the financially-strapped fictional Monroe College in Chicago. A chance encounter with four beautiful women at a restaurant changes his life forever.,06/05/1983,89.0,He's making the world safe for insanity.,10375893
Straight Time,0,tt0078326,en,Straight Time,"After being released on parole, a burglar attempts to go straight, get a regular job, and just go by the rules. He soon finds himself back in jail at the hands of a power-hungry parole officer.",18/03/1978,114.0,"Please God, don't let him get caught.",9900000
Bus Stop,0,tt0049038,en,Bus Stop,"Cowboys Beauregard Decker and Virgil Blessing attend a rodeo in Phoenix, where Decker falls in love with beautiful cafe singer Cherie. He wants to take Cherie back to his native Montana and marry her, but she dreams of traveling to Hollywood and becoming famous. When she resists his advances, Decker forces Cherie onto the bus back to Montana with him, but, when the bus makes an unscheduled stop due to bad weather, the tables are turned.",31/08/1956,96.0,Give this boy enough rope and he'll land Marilyn Monroe!,7270000
Warlock: The Armageddon,3000000,tt0108517,en,Warlock: The Armageddon,"Every six hundred years, a great evil has the opportunity to escape and unleash Armageddon. A group of five stones has the power to either free the evil, or banish it for another six hundred years. An order of Druids battles with a Warlock determined to unleash his father upon the world.",01/05/1993,98.0,,3902679
TerrorVision,0,tt0092074,en,TerrorVision,"A family's new satellite TV system starts receiving signals from another planet, and soon it becomes the passageway to an alien world.",14/02/1986,83.0,"People of Earth, your planet is about to be destroyed...  We're terribly sorry for the inconvenience.",320256
Nemesis,0,tt0107668,en,Nemesis,"In the future, chaos is rampant as 'information terrorists' threaten to destroy order in society. Alex is a part-man, part-machine LAPD cop who is the best at what he does. When one of the terrorists calls him a machine, Alex questions his humanity and decides to leave the force. His final assignment is to apprehend an old colleague who has stolen some data. However, there is more than meets the eye and Alex must question his allegiance.",26/12/1992,94.0,In the future... it pays to be more than human.,2001124
Gunmen,0,tt0109959,en,Gunmen,"Drug baron Peter Loomis (Patrick Stewart) has his $400 million dollar drug fortune stolen in South America. Loomis sends Armor O'Malley (Denis Leary), a ruthless killer to find his money. Cole Parker (Mario Van Peebles), a DEA Agent is on a South American mission of justice and revenge. He is sent to find his father's killer. Cole busts an eccentric smuggler, Dani Servigo (Christopher Lambert) to help Cole to find the smuggler's brother's money that he has stolen from Loomis. But O'Malley wants to find the fortune for himself. In a Cat and Mouse game, Cole and Dani are forced to help each other to find the missing fortune while trying to avoid O'Malley and his men. Together, Servigo and Parker search for the boat.",21/05/1993,94.0,,3411885
A.R.O.G.,8500000,tt1286126,tr,A.R.O.G.,Commander Logar fools Arif and sends him 1.000.000 years back in the time. He must civilize people from past to reach today.,03/12/2008,127.0,,9582732
Demonlover,0,tt0284034,en,Demonlover,"Two corporations compete for illicit 3D manga pornography, sending spies to infiltrate each other's operations.",19/05/2002,121.0,,231800
Raise the Titanic,0,tt0081400,en,Raise the Titanic,"To obtain a supply of a rare mineral, a ship raising operation is conducted for the only known source, the Titanic.",01/01/1980,115.0,They've found the Titanic. There's just one thing left to do...,7000000
Kurbaan,0,tt1185442,en,Kurbaan,"When a handsome young Indian couple (Saif Ali Khan and Kareena Kapoor) moves into the suburbs to claim their stake in the American dream, they are shocked to discover that they've become enmeshed in a secretive terrorist plot. But as tensions escalate, the bride begins to wonder if her husband has told her everything he knows.",20/11/2009,155.0,Some Love Stories  have blood on them,6600000
Piranha,660000,tt0078087,en,Piranha,"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.",03/08/1978,94.0,A hideous death lurked unseen in the river...,16000000
Gunga Din,0,tt0031398,en,Gunga Din,"Based loosely on the poem by Rudyard Kipling, this takes place in British India during the Thuggee uprising. Three fun loving sergeants are doing fine until one of them wants to get married and leave the service. The other two trick him into a final mission where they end up confronting the entire cult by themselves as the British Army is entering a trap.",24/01/1939,117.0,Thrills for a thousand movies plundered for one mighty show!...The picture that sweeps the screen like a cyclone!,2807000
Saint Ralph,0,tt0384488,en,Saint Ralph,"This Canadian made comedy/drama, set in Hamilton, Ontario in 1954, is a sweet and - at times - goofy story that becomes increasingly poignant as the minutes tick by. It's the fictional tale of a wayward 9th grader, Ralph (Adam Butcher), who is secretly living on his own while his widowed, hospitalized mother remains immersed in a coma. Frequently in trouble with Father Fitzpatrick (Gordon Pinsent), the principal of his all-boys, Catholic school, Ralph is considered something of a joke among peers until he decides to pull off a miracle that could save his mother, i.e., winning the Boston Marathon.  Coached by a younger priest and former runner, Father Hibbert (Campbell Scott), whose cynicism has been lifted by the boy's pure hope, Ralph applies himself to his unlikely mission, fending off naysayers and getting help along a very challenging path from sundry allies and friends.",11/09/2004,95.0,He's hoping for a miracle. He doesn't have a prayer.,489389
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,0,tt1037116,ja,åŠ‡å ´ç‰ˆãƒ¯ãƒ³ãƒ”ãƒ¼ã‚¹ ã‚¨ãƒ”ã‚½ãƒ¼ãƒ‰ã‚ªãƒ–ã‚¢ãƒ©ãƒã‚¹ã‚¿ ç ‚æ¼ ã®çŽ‹å¥³ã¨æµ·è³ŠãŸã¡,"A re-telling of the Alabaster Arc from One Piece (TV). Luffy and his crew come to rescue a land in the midst of a civil war, due to a powerful devil fruit user.",03/03/2007,90.0,,7090891
Koi Mil Gaya,0,tt0254481,hi,Koi Mil Gaya,"Ranjit Mehra and his wife Sonia live a middle-class life in rural India. Ranjit's passion is studying the heavenly bodies through various computers, telescopes, and communicators as he believes there is life beyond Earth. He continuously transmits the sound generated by the syllable ""om"" and hopes that someone somewhere will hear this and respond to it.",08/08/2003,171.0,You are not alone,12168232
The Postman Always Rings Twice,0,tt0038854,en,The Postman Always Rings Twice,Illicit lovers plot to kill the woman's older husband.,02/05/1946,113.0,Their Love was a Flame that Destroyed,5086000
The Book of Masters,8000000,tt1293793,ru,Kniga Masterov,"A beautiful and kind girl, daughter of Baba Yaga, finds a magical stone Alatyr while walking in a field. It transforms her heart into a stone and puts her under a queer curse. She is to be the evil Countess of Stones and live in a stone tower. If the greatest gem-cutter in the world brings the stone of Alatyr to life, though, she'll become the ruler of the world. The Stone Countess, now cruel and selfish, is fascinated with the idea. She starts searching for the best gem-cutters and forces them to work with Alatyr, so the magical stone would become a living thing. Neither of the gem-cutters succeeds, so she kills them. While being imprisoned in her tower, they work on a large book about the secrets of gem-cutting. Each of them edits the book, so it's later named ""the Book of Masters"".",29/10/2009,101.0,,10814122
